key(String),amplitude(double),node(number),seconds(number)
"-M8wNcVeY1i84MBcf55t","2035","2","112.872"
"-M8wNcWGiEKR6LR41ngH","2084","3","112.816"
"-M8wNcYjn7JOhs_YYzaT","326","0","112.861"
"-M8wNcaHK7a6jx0-uQhe","1852","2","113.231"
"-M8wNcfT9aODk-oy9wnr","2682","4","113.393"
"-M8wNcfuGNZMVcpqIboF","2108","2","113.591"
"-M8wNcl2GdHvfhXCidBj","4116","4","113.751"
"-M8wNcqeORf-Eqxp05Fy","2371","4","114.11"
"-M8wNcwHfnfWgYAxicjs","2762","4","114.47"
"-M8wNd-5J64aSV3Jt07d","412","1","114.635"
"-M8wNd0vbFcvXOLJRpzb","2031","4","114.831"
"-M8wNd6YcQOJU4np3yCY","2959","4","115.19"
"-M8wNdC9N3cX_HnnYFcF","3119","4","115.55"
"-M8wNdI6HVSDhRGgry3c","2054","4","115.931"
"-M8wNdNi1p2__kqaoH-o","4735","4","116.29"
"-M8wNdTLPryo2edwNgqN","2888","4","116.651"
"-M8wNdYxwOO7u6qn2kfH","2582","4","117.009"
"-M8wNddbKr2uStphsHKe","1340","4","117.371"
"-M8wNdjIhq3lJlsndCmk","2163","4","117.734"
"-M8wNdosSGPHBgjJn_u7","2530","4","118.092"
"-M8wNdsLl-SUgIBGLuKt","516","1","118.236"
"-M8wNduUpgBiKVdkCjMb","2169","4","118.45"
"-M8wNdxyq7ieuuuANy3T","460","1","118.596"
"-M8wNe-7Ipv-auRylWjl","1541","4","118.812"
"-M8wNe2aw7ghwVmV7OJb","461","1","118.956"
"-M8wNe535UhF9mlAIVrF","1232","4","119.192"
"-M8wNe8CdACbN-3mTEvn","616","1","119.315"
"-M8wNeB--SUCsMYgXidy","1659","4","119.571"
"-M8wNeDqxvyHm8ZEUBl9","587","1","119.675"
"-M8wNeGb2NWQJA0r38S5","1944","4","119.93"
"-M8wNeJTqhuWMjZrOA-j","714","1","120.035"
"-M8wNeMEfMDozPb1Lvt1","1824","4","120.29"
"-M8wNeP5Q4EZp3vAs52c","655","1","120.395"
"-M8wNeRqbDdTk5u-P1Dn","2037","4","120.651"
"-M8wNeUjP-dCcIc6OXCl","483","1","120.756"
"-M8wNeXQujDZF4VSbf0V","1522","4","121.007"
"-M8wNekMD3CNyFwnYc30","290","0","121.861"
"-M8wNekalUDW3nywz89X","772","1","121.836"
"-M8wNeqEAd94m0Ftcsfs","1692","1","122.196"
"-M8wNet9pH6KqGo4HKrF","2070","3","122.536"
"-M8wNevbMZzBJYAR75pf","303","0","122.581"
"-M8wNevrusrChXorT2W6","1935","1","122.556"
"-M8wNeymc68lM2rJfSW-","4929","3","122.896"
"-M8wNf8tCZmzy67ML1sl","1225","4","123.533"
"-M8wNfEX_kn3_cUNf_5i","4245","4","123.894"
"-M8wNfEd8_n3uM64id35","5730","3","123.976"
"-M8wNfK6ew48-HOoyW1A","4985","4","124.251"
"-M8wNfPiiAwmqLuM3ZL5","2712","4","124.61"
"-M8wNfVLkMj-Izl1fbeY","2433","4","124.97"
"-M8wNf_zAiFD3yQDPIke","1954","4","125.33"
"-M8wNffd3X_t1cOgtAQc","1044","4","125.692"
"-M8wNfiT7Rj0RV5I-oXu","377","1","125.795"
"-M8wNflEKwqBZqDY1eqT","2182","4","126.051"
"-M8wNfwTAwWmducjp_uI","2686","4","126.77"
"-M8wNg16dz7tdPrGkI6e","1768","4","127.13"
"-M8wNg3jJFnu6uKIjuzV","300","0","127.261"
"-M8wNg6iIuxEzwLAdi-Z","2931","4","127.49"
"-M8wNgCLIJyb2JaVhlkJ","1481","4","127.85"
"-M8wNgQEuB6ATwcLvfyw","1549","0","128.7"
"-M8wNgaiCsg_o50ffZqT","516","1","129.395"
"-M8wNggMes26cGvnttNx","626","1","129.756"
"-M8wNgot9wLDOfLydY7_","1212","3","130.456"
"-M8wNgraDzrJwVOurbOS","1474","1","130.475"
"-M8wNgxDa6HuI70Ia6Fr","1231","1","130.835"
"-M8wNh7EacboR7_DUcmf","281","0","131.581"
"-M8wNhIWvMkFMrjVVPvS","454","0","132.303"
"-M8wNhIihWhv25C7n_Pg","2493","1","132.276"
"-M8wNhO6JBqt4jmk0w1W","408","0","132.66"
"-M8wNhTjsq2hV51f3YES","256","0","133.02"
"-M8wNhTyx9mBwtuM6rO4","2424","1","132.995"
"-M8wNhZaPAKCsQ2RDh6L","2737","1","133.356"
"-M8wNhjqOGmygPmqd4Sh","2794","1","134.075"
"-M8wNhpU8Nu1ww4FTKRY","2783","1","134.436"
"-M8wNhrm-kyxNpqoE-HL","1170","2","134.831"
"-M8wNhv6W-o9fw3qUHT3","2026","1","134.797"
"-M8wNhxq0UgeRcbKSwg1","1775","4","135.05"
"-M8wNi-jEH5T-iBYusPP","560","1","135.156"
"-M8wNi5L6EDwGN2reeP6","517","1","135.515"
"-M8wNi88r7jE9t7D7U2R","2561","4","135.773"
"-M8wNiAyq8ZIhcFzYQxH","2975","1","135.875"
"-M8wNiDH-MKh93QsTnMV","1053","2","136.271"
"-M8wNic5Bwp9ba5hlJcy","2893","1","137.675"
"-M8wNihUwMHsechaEIma","664","0","138.06"
"-M8wNihiwh3AEc6vMBS2","2172","1","138.036"
"-M8wNin66GCKEn-Z-KIK","796","0","138.42"
"-M8wNiviJVbaKgsGL4aC","3382","4","139.009"
"-M8wNj5yyTV4SLqjFxiJ","1273","4","139.73"
"-M8wNj8r5N6K4suCmMcr","1968","1","139.836"
"-M8wNjY5CDp-yQI_zCQK","2143","4","141.53"
"-M8wNjcjB01K5HijUOA1","2496","4","141.89"
"-M8wNjlDuJDAsAiqolq0","573","1","142.355"
